0.0000     0.0000     -0.012
0.0500     1.2450      0.045
0.1000     2.3120     -0.089
0.1500     3.1050      0.120
0.2000     3.8900      0.032
0.2500     4.4500     -0.210
0.3000     4.9800      0.450
0.3500     5.3200      0.110
0.4000     5.6500     -0.050
0.4500     5.8900      0.090
0.5000     6.1200      1.120
0.5500     6.3000     -0.340
0.6000     6.4500      0.220
0.6500     6.5500     -0.110
0.7000     6.6200      0.080
0.7500     6.6800      0.310
0.8000     6.7200     -0.020
0.8500     6.7500      0.140
0.9000     6.7700     -0.090
0.9500     6.7800      0.050
1.0000     6.7900      0.010
